instrument,trading_day,update_time_raw,turnover,volume,last_price,open_interest,upper_limit_price,lower_limit_price,local_timestamp_us,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ms_of_day,product,contract_yyyymm,grid_phase_ms,session,is_preopen,is_in_continuous_session,is_out_of_session,exchange_ts,local_ts_utc,phase_residual_ms,is_observed_snapshot,bid_levels_present,ask_levels_present,one_sided_book,partial_depth_book,row_integrity_ok,source_file_integrity,session_boundary,interval_volume,interval_turnover,delta_open_interest,interval_vwap
IF2406,20240104,093104200,248580720.0,245,3385.8,62672,3728.0,3050.4,1704331864227418,3385.4,3385.2,3385.0,3384.8,3384.2,3386.0,3388.0,3388.8,3389.4,3390.0,2,1,2,1,4,7,2,2,6,1,34264200,IF,202406,200,AM,False,True,False,2024-01-04 09:31:04.200,2024-01-04 01:31:04.227418+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2401,20240104,093104700,1364456280.0,1347,3378.8,98370,3719.6,3043.6,1704331864724237,3378.6,3378.4,3378.2,3378.0,3377.8,3378.8,3379.8,3380.0,3380.2,3380.6,1,2,2,7,26,2,1,2,2,1,34264700,IF,202401,200,AM,False,True,False,2024-01-04 09:31:04.700,2024-01-04 01:31:04.724237+00:00,0,True,5,5,False,False,True,PASS,False,13.0,13178400.0,-8.0,3379.076923076923
IF2403,20240104,093104700,454524960.0,447,3392.6,100968,3734.4,3055.6,1704331864724245,3392.6,3392.4,3392.2,3391.8,3391.6,3393.0,3393.6,3394.4,3394.8,3395.2,3,1,1,1,1,2,1,3,1,2,34264700,IF,202403,200,AM,False,True,False,2024-01-04 09:31:04.700,2024-01-04 01:31:04.724245+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2035560.0,-2.0,3392.6
IF2406,20240104,093104700,249596520.0,246,3386.0,62671,3728.0,3050.4,1704331864724253,3385.8,3385.4,3385.2,3384.8,3384.2,3386.0,3388.0,3388.8,3389.4,3390.0,1,2,1,1,4,6,2,2,6,1,34264700,IF,202406,200,AM,False,True,False,2024-01-04 09:31:04.700,2024-01-04 01:31:04.724253+00:00,0,True,5,5,False,False,True,PASS,False,1.0,1015800.0,-1.0,3386.0
IF2401,20240104,093105200,1366483560.0,1349,3378.8,98371,3719.6,3043.6,1704331865225472,3379.2,3379.0,3378.8,3378.6,3378.4,3379.8,3380.0,3380.2,3380.6,3380.8,1,1,5,4,4,1,2,2,1,2,34265200,IF,202401,200,AM,False,True,False,2024-01-04 09:31:05.200,2024-01-04 01:31:05.225472+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2027280.0,1.0,3378.8
IF2403,20240104,093105200,456560520.0,449,3392.6,100966,3734.4,3055.6,1704331865225480,3392.4,3392.2,3391.8,3391.6,3391.4,3393.0,3393.6,3394.4,3394.8,3395.2,1,1,1,1,4,1,1,3,1,2,34265200,IF,202403,200,AM,False,True,False,2024-01-04 09:31:05.200,2024-01-04 01:31:05.225480+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2035560.0,-2.0,3392.6
IF2406,20240104,093105200,252643800.0,249,3386.0,62668,3728.0,3050.4,1704331865225488,3385.4,3385.2,3384.8,3384.2,3383.4,3386.0,3388.0,3388.8,3389.4,3390.0,2,1,1,4,1,5,2,4,6,1,34265200,IF,202406,200,AM,False,True,False,2024-01-04 09:31:05.200,2024-01-04 01:31:05.225488+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3047280.0,-3.0,3385.866666666667
IF2401,20240104,093105700,1367497200.0,1350,3378.8,98370,3719.6,3043.6,1704331865725382,3379.0,3378.8,3378.6,3378.4,3378.2,3379.2,3379.6,3379.8,3380.0,3380.2,3,6,3,4,2,1,6,1,2,2,34265700,IF,202401,200,AM,False,True,False,2024-01-04 09:31:05.700,2024-01-04 01:31:05.725382+00:00,0,True,5,5,False,False,True,PASS,False,1.0,1013640.0,-1.0,3378.8
IF2402,20240104,093105700,68011800.0,67,3386.4,6515,3727.0,3049.4,1704331865725390,3384.6,3384.4,3384.2,3384.0,3383.8,3390.0,3394.0,3396.0,3398.8,3432.8,1,3,1,1,2,2,4,1,2,1,34265700,IF,202402,200,AM,False,True,False,2024-01-04 09:31:05.700,2024-01-04 01:31:05.725390+00:00,0,True,5,5,False,False,True,PASS,False,6.0,6095100.0,-6.0,3386.1666666666665
IF2403,20240104,093105700,459613980.0,452,3392.6,100965,3734.4,3055.6,1704331865725398,3392.4,3392.2,3391.8,3391.6,3391.4,3394.4,3394.8,3395.2,3395.6,3396.0,3,5,1,1,4,2,1,2,1,2,34265700,IF,202403,200,AM,False,True,False,2024-01-04 09:31:05.700,2024-01-04 01:31:05.725398+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3053460.0,-1.0,3392.733333333333
